the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.90373570883901 40.84771812233432, -73.90407741399281 40.8477853162811, -73.90402862440092 40.84792608572096, -73.9036885984374 40.847859224415075, -73.90373570883901 40.84771812233432)))",935,BX,2802,35,1857 Anthony Avenue,2028020035,Edwin and Elizabeth Shuttleworth House,LP-01436,"Borough of the Bronx Tax Map Block 2802, Lot 35.",Designated,also known as the 1857 Anthony Avenue House,07/15/1986,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1436.pdf,300.902595888,5166.41027645
"MULTIPOLYGON (((-73.88672739406734 40.817335274600154, -73.88670817241955 40.817261916505046, -73.88663963481831 40.81727226429505, -73.88656967224925 40.81700526643904, -73.88700872555502 40.816938981475936, -73.88711578642102 40.81734211116772, -73.88676161548274 40.81739558120623, -73.88674389773203 40.81739825629148, -73.88672739406734 40.817335274600154)))",936,BX,2762,72,812 Faile Street,2027620072,"Peter S. Hoe House, Sunnyslope",LP-01079,"Borough of The Bronx Tax Map Block 2762, Lot 27.",Designated,"later Temple Beth Elohim, now the Bright Temple A.M.E. Church",07/28/1981,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1079.pdf,547.862618241,17614.3078043
"MULTIPOLYGON (((-73.91995604879317 40.83229902105019, -73.92008208958204 40.832115044622526, -73.9209306802521 40.83240340876231, -73.92031291724065 40.8334492512333, -73.91934651749386 40.83312162696047, -73.91937884751886 40.833080272735835, -73.9194087349772 40.833042040611105, -73.91943862359221 40.83300380397674, -73.91946850980494 40.83296556463121, -73.91949868213966 40.832926968881516, -73.91953170186316 40.832882773132994, -73.91956443061773 40.83283895628002, -73.91959715458798 40.83279513851363, -73.91962989748431 40.83275132075084, -73.919662626115 40.832707499366535, -73.9196953487703 40.83266368157052, -73.91972809153836 40.83261986287838, -73.91976081766744 40.83257604236409, -73.91979354255592 40.832532231744814, -73.91982679463746 40.83248772269852, -73.91985945891828 40.832440021880444, -73.91995604879317 40.83229902105019)))",937,BX,2472,34,1125 Grand Concourse,2024720034,Andrew Freedman Home,LP-01796,"Borough of The Bronx Tax Map Block 2472, Lot 34.",Designated,,06/02/1992,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1796.pdf,1387.28841341,113892.536846
"MULTIPOLYGON (((-73.91720450741559 40.85049916609937, -73.91745678447757 40.85070800618666, -73.91769856290051 40.850912253819594, -73.91642477155345 40.85178904476275, -73.91633884258773 40.85175585248469, -73.91629739951945 40.85173513362318, -73.91626052583922 40.85171250902096, -73.91624091493033 40.851697917622495, -73.91622995202869 40.8516906192805, -73.91621870909981 40.85168061835818, -73.91620997776246 40.85167264356457, -73.9161995392894 40.851664208279416, -73.91618782475781 40.851652021517715, -73.91617745301167 40.85164051740284, -73.91616773177286 40.851628519389706, -73.91615779675806 40.85161488952912, -73.91614933285965 40.85160362272704, -73.91614221842916 40.85159337986399, -73.91613433979401 40.851577873070106, -73.9161256708592 40.8515561676157, -73.91611802410058 40.85153359032717, -73.9161126789582 40.85151967023942, -73.91611048144367 40.85150558044639, -73.9161064275677 40.851483353359384, -73.91610496998386 40.851465566684695, -73.91610483617454 40.851449425270744, -73.91610630419935 40.851421323788195, -73.91610911285997 40.85140124216048, -73.91611537343135 40.851374793863755, -73.91612361162957 40.85135059553262, -73.91613690546095 40.851321608458406, -73.91615398760771 40.851295019444315, -73.91617105410366 40.85127236916779, -73.91627045009781 40.85114967549063, -73.91720450741559 40.85049916609937)))",939,BX,2878,150,1771-1777 Andrews Avenue,2028780150,Messiah Home for Children,LP-01892,"Borough of the Bronx Tax Map Block 2878, Lot 146",Designated,,06/24/1997,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1892.pdf,1312.10994292,94381.33402
"MULTIPOLYGON (((-73.92300408670853 40.82653813146595, -73.92356575062666 40.82560195717605, -73.92463685203538 40.8259678410805, -73.92407067528913 40.826907010798266, -73.92406624559695 40.82691391108047, -73.92405966175568 40.826921974284744, -73.92405442428755 40.82692720541628, -73.92404618221754 40.826934008634915, -73.9240365192565 40.82694037867911, -73.92402522096599 40.82694619924331, -73.92401191292646 40.8269513034887, -73.92399582608623 40.82695540995299, -73.92397734188387 40.82695773005248, -73.92395826769915 40.82695763823285, -73.92394349755811 40.82695583560579, -73.92392651200504 40.82695174965967, -73.92391556982002 40.82694782438464, -73.92305423640465 40.82665424512734, -73.92303784370169 40.82664402346853, -73.92302670948202 40.82663607816835, -73.92301422494145 40.82662512340977, -73.92300453597173 40.82661294404142, -73.92299819569708 40.8266009866292, -73.92299465557939 40.82658998561188, -73.92299314062379 40.826579679328376, -73.92299323722526 40.82656996034367, -73.92299469174642 40.826560782563085, -73.92299652361633 40.826554357849574, -73.92300031453395 40.82654531760384, -73.92300408670853 40.82653813146595)))",940,BX,2468,1,851 Grand Concourse,2024680001,Bronx County Building,LP-00928,"Borough of the Bronx, Tax Map Block 2468, Lot 1.",Designated,also known as the Bronx County Courthouse,07/13/1976,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0928.pdf,1437.26619333,131894.829628
"MULTIPOLYGON (((-73.89572035569584 40.86325793191309, -73.89589353689846 40.86302971857373, -73.89607052268161 40.862796493562826, -73.89638424470084 40.86293682626965, -73.89603408152517 40.86339826556267, -73.89572035569584 40.86325793191309)))",941,BX,3154,7501,2516-2530 Grand Concourse,2031547501,Dollar Savings Bank,LP-01889,"Borough of The Bronx Tax Map Block 3154, Lots 1001-1002",Designated,later Emmigrant Savings Bank,07/19/1994,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1889.pdf,589.487768958,19541.1188175
"MULTIPOLYGON (((-73.88998905960749 40.81660774931132, -73.89167490250878 40.81647371345834, -73.89184688716587 40.81710794935752, -73.89095095600157 40.81800043394581, -73.89048637072014 40.81774088814167, -73.89014711329021 40.81717221832575, -73.88998905960749 40.81660774931132)))",942,BX,2739,15,1201 Lafayette Avenue,2027390015,American Bank Note Company Printing Plant,LP-02298,"Borough of the Bronx, Tax Map Block 2739, Lot 15.",Designated,,02/05/2008,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2298.pdf,1711.39760047,186438.107514
"MULTIPOLYGON (((-73.91871886302769 40.815084466150125, -73.91871304045706 40.81508201089143, -73.91884315172082 40.814902061605046, -73.91925172356198 40.81507428853835, -73.91899816571708 40.81520220192845, -73.91871886302769 40.815084466150125)))",943,BX,2307,54,2792 Third Avenue,2023070054,Dollar Savings Bank,LP-02370,"Borough of the Bronx Tax Map Block 2307, Lot 54",Designated,,01/12/2010,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2370.pdf,378.644254792,8213.02787157
"MULTIPOLYGON (((-73.90211132819039 40.84807307755718, -73.90251832551333 40.848094874642086, -73.9024426445701 40.848419833528716, -73.90238488428975 40.84840496706242, -73.90232547920955 40.848382053274086, -73.90227604756892 40.848355675605355, -73.9022227385658 40.848316960583105, -73.9021820985726 40.848276321121, -73.90215073268615 40.84823280343277, -73.902123482886 40.84817320282964, -73.9021138885473 40.848133445147525, -73.90211132819039 40.84807307755718)))",944,BX,2803,26,324 East Tremont Avenue,2028030026,Tremont Baptist Church,LP-02048,"Borough of the Bronx Tax Map Block 2803, Lot 26.",Designated,,02/08/2000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2048.pdf,401.928263015,9673.22774331
"MULTIPOLYGON (((-73.91031224724874 40.82303154318149, -73.90965944233031 40.82282983930826, -73.90992834887976 40.82265511925329, -73.91006480401859 40.822607475140636, -73.9103084104893 40.8227419036685, -73.91034289025137 40.82304101141589, -73.91031224724874 40.82303154318149)))",945,BX,2365,35,East 161st Street at Third Avenue,2023650035,Bronx Borough Courthouse,LP-01076,"Borough of the Bronx, Tax Map Block 2365, Lot 35.",Designated,,07/28/1981,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1076.pdf,536.433417276,15974.3971394
